GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
515642132,20150226,201502,2015,2015.1534423828125,THACOP,THAILAND,THA,,,,,COP,,,uig,UIGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,4,2,4,-6.605257511138916,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,20160226,http://www.malaysiakini.com/news/331804
515642133,20150226,201502,2015,2015.1534423828125,THACOP,THAI,THA,,,,,COP,,,uig,UIGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,2,1,2,-6.746987819671631,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,20160226,http://www.malaysiakini.com/news/331804
515806869,20150226,201502,2015,2015.1534423828125,THACOP,THAI,THA,,,,,COP,,,UIG,UYGUR,,,,,,,,,0,173,173,17,4,-5.0,3,1,3,-6.9637885093688965,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,20160226,http://www.shanghaidaily.com/world/Bangkok-shrine-bombers-targeted-Chinese-tourists/shdaily.shtml
515514727,20150225,201502,2015,2015.1507568359375,THACOP,THAI,THA,,,,,COP,,,uig,UIGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,18,5,18,-6.4696946144104,4,"Beijing, Beijing, China",CH,CH22,39.92890167236328,116.38800048828125,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.92890167236328,116.38800048828125,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.92890167236328,116.38800048828125,-1898541,20160225,http://uk.reuters.com/article/uk-thailand-blast-china-idUKKCN0VY2XT
515520987,20150226,201502,2015,2015.1534423828125,THACOP,THAI,THA,,,,,COP,,,uig,UIGHUR,,,uig,,,,,,1,173,173,17,4,-5.0,75,19,75,-6.519500732421875,4,"Beijing, Beijing, China",CH,CH22,39.92890167236328,116.38800048828125,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.92890167236328,116.38800048828125,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.92890167236328,116.38800048828125,-1898541,20160226,http://www.reuters.com/article/us-thailand-blast-china-idUSKCN0VY2XP
515559322,20150226,201502,2015,2015.1534423828125,THACOP,THAILAND,THA,,,,,COP,,,uig,UYGHUR,,,uig,,,,,,1,173,173,17,4,-5.0,1,1,1,-10.511363983154297,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,4,"Chao Phraya, Thailand (general), Thailand",TH,TH00,13.533300399780273,100.60199737548828,-3247040,20160226,http://www.ejinsight.com/20160226-bangkok-shrine-bombers-targeted-chinese-tourists/
515559323,20150226,201502,2015,2015.1534423828125,THACOP,THAI,THA,,,,,COP,,,uig,UYGHUR,,,uig,,,,,,1,173,173,17,4,-5.0,2,1,2,-10.511363983154297,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,4,"Chao Phraya, Thailand (general), Thailand",TH,TH00,13.533300399780273,100.60199737548828,-3247040,20160226,http://www.ejinsight.com/20160226-bangkok-shrine-bombers-targeted-chinese-tourists/
516557928,20150301,201503,2015,2015.1671142578125,GOV,AUTHORITIES,,,,,,GOV,,,CHNGOV,XINJIANG,CHN,,,,,GOV,,,0,090,090,09,2,-2.0,3,1,3,-8.364312171936035,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,20160229,http://www.taipeitimes.com/News/world/archives/2016/03/01/2003640581
518462370,20150307,201503,2015,2015.1836,CHN,XINJIANG,CHN,,,,,,,,CVL,TOURIST,,,,,,CVL,,,0,043,043,04,1,2.8,10,1,10,-2.60078023407022,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20160306,http://www.globaltimes.cn/content/972182.shtml
518462372,20150307,201503,2015,2015.1836,CVL,TOURIST,,,,,,CVL,,,CHN,XINJIANG,CHN,,,,,,,,0,042,042,04,1,1.9,10,1,10,-2.60078023407022,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20160306,http://www.globaltimes.cn/content/972182.shtml
498800776,20150102,201501,2015,2015.0055,CHN,XINJIANG,CHN,,,,,,,,uigEDU,UIGHUR,,,uig,,,EDU,,,0,173,173,17,4,-5.0,2,1,2,-5.89254766031196,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20160102,http://www.westfieldtimes.com/world/french-journalist-leaving-china-after-being-denied-press-credentials-over-her-reporting/91932/
498800777,20150102,201501,2015,2015.0055,CHN,XINJIANG,CHN,,,,,,,,uigEDU,UIGHUR,,,uig,,,EDU,,,0,173,173,17,4,-5.0,8,1,8,-5.89254766031196,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20160102,http://www.westfieldtimes.com/world/french-journalist-leaving-china-after-being-denied-press-credentials-over-her-reporting/91932/
515932255,20150227,201502,2015,2015.15625,THACOP,THAI,THA,,,,,COP,,,UIG,UYGUR,,,,,,,,,0,173,173,17,4,-5.0,3,1,3,-7.042253494262695,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,20160227,http://www.eturbonews.com/68923/chinese-tourists-were-bangkok-bombers-primary-target
515988685,20150227,201502,2015,2015.15625,THACOP,THAI,THA,,,,,COP,,,uig,UIGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,3,1,3,-8.924485206604004,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.51699829101562,-3250083,20160227,http://borneobulletin.com.bn/bangkok-bombers-wanted-to-target-pier/
515606667,20150226,201502,2015,2015.1534423828125,COP,POLICE,,,,,,COP,,,uig,UIGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,3,1,3,-6.607142925262451,4,"Beijing, Beijing, China",CH,CH22,39.92890167236328,116.38800048828125,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.92890167236328,116.38800048828125,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.92890167236328,116.38800048828125,-1898541,20160226,http://www.khaosodenglish.com/detail.php?newsid=1456459880
