GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
426240876,20140417,201404,2014,2014.2932,CHN,XINJIANG,CHN,,,,,,,,RAD,EXTREMIST,,,,,,RAD,,,0,112,112,11,3,-2.0,28,3,28,-9.81450146440373,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150417,http://www.ngrguardiannews.com/2015/04/two-suspected-terrorist-elements-shot-dead-in-china-state-media/
435067706,20140521,201405,2014,2014.3863,CHN,CHINA,CHN,,,,,,,,uig,UYGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,5,1,5,-4.18227215980024,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150521,http://www.tol.org/client/article/24808-modest-hopes-for-riga-summit-outrage-after-fatal-baku-fire.html
426240870,20140417,201404,2014,2014.2932,,,,,,,,,,,CHN,XINJIANG,CHN,,,,,,,,0,190,190,19,4,-10.0,21,3,21,-9.83876309492406,0,,,,,,,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150417,http://www.ngrguardiannews.com/2015/04/two-suspected-terrorist-elements-shot-dead-in-china-state-media/
433339373,20140514,201405,2014,2014.3671,SEP,SEPARATIST,,,,,,SEP,,,CHN,XINJIANG,CHN,,,,,,,,0,112,112,11,3,-2.0,5,1,5,-2.78884462151395,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,20150514,http://www.todayonline.com/chinaindia/china/chinas-key-public-areas-have-security-cameras-2020
434054486,20140518,201405,2014,2014.3781,CHN,XINJIANG,CHN,,,,,,,,SEP,SEPARATIST,,,,,,SEP,,,1,141,141,14,3,-6.5,10,1,10,-1.54761904761905,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,1,Hong Kong,HK,HK,22.25,114.167,HK,20150518,http://swarajyamag.com/world/merits-of-a-forward-policy-with-china/
438307896,20140604,201406,2014,2014.4219,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,0,172,172,17,4,-5.0,4,2,4,-6.72957154145962,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,0,,,,,,,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150604,http://www.dailymail.co.uk/news/article-3110022/Is-ISIS-oldest-jihadi-Elderly-man-flees-China-family-fight-alongside-terror-group-Syria.html
426240881,20140417,201404,2014,2014.2932,GOV,AUTHORITIES,,,,,,GOV,,,CHN,XINJIANG,CHN,,,,,,,,0,190,190,19,4,-10.0,28,3,28,-9.81450146440373,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150417,http://www.ngrguardiannews.com/2015/04/two-suspected-terrorist-elements-shot-dead-in-china-state-media/
427358821,20140422,201404,2014,2014.3068,PAKMIL,PAKISTANI,PAK,,,,,MIL,,,uigUAF,UIGHUR,,,uig,,,UAF,,,0,051,051,05,1,3.4,6,1,6,-4.22960725075529,4,"North Waziristan, Federally Administered Tribal Areas, Pakistan",PK,PK01,32.9509,69.9576,-2770669,4,"North Waziristan, Federally Administered Tribal Areas, Pakistan",PK,PK01,32.9509,69.9576,-2770669,4,"North Waziristan, Federally Administered Tribal Areas, Pakistan",PK,PK01,32.9509,69.9576,-2770669,20150422,http://www.nytimes.com/2015/04/22/world/asia/xi-jinping-plans-to-fund-pakistan.html
433339375,20140514,201405,2014,2014.3671,SEP,SEPARATIST,,,,,,SEP,,,CHN,XINJIANG,CHN,,,,,,,,0,194,194,19,4,-10.0,5,1,5,-2.78884462151395,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,20150514,http://www.todayonline.com/chinaindia/china/chinas-key-public-areas-have-security-cameras-2020
435965677,20140525,201405,2014,2014.3973,CHN,XINJIANG,CHN,,,,,,,,CVL,CIVILIAN,,,,,,CVL,,,1,190,190,19,4,-10.0,2,1,2,-6.76100628930818,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Luntai, Xinjiang, China",CH,CH13,41.7739,84.2442,-1917000,4,"Luntai, Xinjiang, China",CH,CH13,41.7739,84.2442,-1917000,20150525,http://www.ibtimes.com/china-says-over-180-gangs-smashed-anti-terror-crackdown-xinjiang-1936755
435299536,20140522,201405,2014,2014.389,CHN,XINJIANG,CHN,,,,,,,,COP,PRISON,,,,,,COP,,,1,173,173,17,4,-5.0,16,2,16,-8.09363311859153,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150522,http://www.refworld.org/docid/555edb6156.html
438494550,20140604,201406,2014,2014.4219,CHN,BEIJING,CHN,,,,,,,,CHNSEP,XINJIANG,CHN,,,,,SEP,,,0,112,112,11,3,-2.0,3,1,3,-13.0693069306931,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20150604,http://www.news24.com/World/News/China-executes-Tiananmen-Square-attackers-20140824
425594510,20140415,201404,2014,2014.2877,COP,POLICE,,,,,,COP,,,uig,UYGHUR,,,uig,,,,,,1,193,193,19,4,-10.0,2,1,2,-7.41097208854668,4,"Hetian, Guangdong, China",CH,CH30,23.3058,115.65,-1909200,4,"Hetian, Guangdong, China",CH,CH30,23.3058,115.65,-1909200,4,"Hetian, Guangdong, China",CH,CH30,23.3058,115.65,-1909200,20150415,http://www.refworld.org/docid/552e19a215.html
423617457,20140408,201404,2014,2014.2685,COP,POLICE,,,,,,COP,,,uig,UYGHUR,,,uig,,,,,,0,193,193,19,4,-10.0,22,2,22,-7.84679089026915,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150408,http://www.ucanews.com/news/chinese-authorities-kill-three-jail-two-members-of-uyghur-family/73335
423505944,20140407,201404,2014,2014.2658,COP,POLICE,,,,,,COP,,,uig,UYGHUR,,,uig,,,,,,1,193,193,19,4,-10.0,2,1,2,-7.76605944391179,4,"Hetian, Guangdong, China",CH,CH30,23.3058,115.65,-1909200,4,"Hetian, Guangdong, China",CH,CH30,23.3058,115.65,-1909200,4,"Hetian, Guangdong, China",CH,CH30,23.3058,115.65,-1909200,20150407,http://www.rfa.org/english/news/uyghur/family-04072015151139.html
429546913,20140430,201404,2014,2014.3288,HLH,HOSPITAL,,,,,,HLH,,,CHN,XINJIANG,CHN,,,,,,,,0,020,020,02,1,3.0,16,2,16,1.00605683664456,4,"Dalian, Liaoning, China",CH,CH19,38.9122,121.602,-1901835,4,"Dalian, Liaoning, China",CH,CH19,38.9122,121.602,-1901835,1,Mongolia,MG,MG,46.0,105.0,MG,20150430,http://usa.chinadaily.com.cn/china/2015-04/30/content_20584221.htm
