GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
319695397,20131022,201310,2013,2013.8,UAF,TERRORIST,,,,,,UAF,,,uig,UYGHUR,,,uig,,,,,,0,112,112,11,3,-2.0,5,1,5,1.33982947624848,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20141022,http://thediplomat.com/2014/10/al-qaeda-declares-war-on-china-too/
319695816,20131022,201310,2013,2013.8,uig,UYGHUR,,,uig,,,,,,UAF,TERRORIST,,,,,,UAF,,,0,111,111,11,3,-2.0,5,1,5,1.33982947624848,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20141022,http://thediplomat.com/2014/10/al-qaeda-declares-war-on-china-too/
317435927,20131008,201310,2013,2013.7616,,,,,,,,,,,CHN,XINJIANG,CHN,,,,,,,,1,043,043,04,1,2.8,2,1,2,3.2,0,,,,,,,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,33.3386,44.3939,-3103581,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,33.3386,44.3939,-3103581,20141008,http://article.wn.com/view/2014/10/08/Maghreb_Religious_Leaders_Tackle_Takfirism/
317435928,20131008,201310,2013,2013.7616,,,,,,,,,,,CHN,XINJIANG,CHN,,,,,,,,1,043,043,04,1,2.8,3,1,3,3.2,0,,,,,,,1,Chad,CD,CD,15.0,19.0,CD,1,Chad,CD,CD,15.0,19.0,CD,20141008,http://article.wn.com/view/2014/10/08/Maghreb_Religious_Leaders_Tackle_Takfirism/
317435931,20131008,201310,2013,2013.7616,,,,,,,,,,,CHN,XINJIANG,CHN,,,,,,,,1,100,100,10,3,-5.0,2,1,2,3.2,0,,,,,,,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,33.3386,44.3939,-3103581,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,33.3386,44.3939,-3103581,20141008,http://article.wn.com/view/2014/10/08/Maghreb_Religious_Leaders_Tackle_Takfirism/
317435932,20131008,201310,2013,2013.7616,,,,,,,,,,,CHN,XINJIANG,CHN,,,,,,,,1,100,100,10,3,-5.0,3,1,3,3.2,0,,,,,,,1,Chad,CD,CD,15.0,19.0,CD,1,Chad,CD,CD,15.0,19.0,CD,20141008,http://article.wn.com/view/2014/10/08/Maghreb_Religious_Leaders_Tackle_Takfirism/
317436312,20131008,201310,2013,2013.7616,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,042,042,04,1,1.9,2,1,2,3.2,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,33.3386,44.3939,-3103581,0,,,,,,,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,33.3386,44.3939,-3103581,20141008,http://article.wn.com/view/2014/10/08/Maghreb_Religious_Leaders_Tackle_Takfirism/
317436313,20131008,201310,2013,2013.7616,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,042,042,04,1,1.9,3,1,3,3.2,1,Chad,CD,CD,15.0,19.0,CD,0,,,,,,,1,Chad,CD,CD,15.0,19.0,CD,20141008,http://article.wn.com/view/2014/10/08/Maghreb_Religious_Leaders_Tackle_Takfirism/
318192547,20131013,201310,2013,2013.7753,UAF,TERRORIST,,,,,,UAF,,,uigCVL,UYGHUR,,,uig,,,CVL,,,0,014,014,01,1,0.0,5,1,5,2.17606330365974,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20141013,http://www.ipsnews.net/2013/06/nowhere-to-turn-for-chinas-uyghurs/
318192548,20131013,201310,2013,2013.7753,UAF,TERRORIST,,,,,,UAF,,,uigCVL,UYGHUR,,,uig,,,CVL,,,0,190,190,19,4,-10.0,10,1,10,2.17606330365974,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20141013,http://www.ipsnews.net/2013/06/nowhere-to-turn-for-chinas-uyghurs/
