GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
478001748,20151022,201510,2015,2015.8,CHN,BEIJING,CHN,,,,,,,,CHNUIG,XINJIANG,CHN,,,,,,,,0,017,017,01,1,0.0,30,1,30,3.75494071146245,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20151022,"CCTV-1, Beijing/BBC Monitoring/(c) BBC"
478001772,20151022,201510,2015,2015.8,CHN,XINJIANG,CHN,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,042,042,04,1,1.9,6,1,6,-3.24846356453029,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
478001822,20151022,201510,2015,2015.8,CHN,XINJIANG,CHN,,,,,,,,MOSUIG,MUSLIM,,,,MOS,,,,,0,042,042,04,1,1.9,6,1,6,-3.24846356453029,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
478001823,20151022,201510,2015,2015.8,CHN,XINJIANG,CHN,,,,,,,,MOSUIG,MUSLIM,,,,MOS,,,,,0,042,042,04,1,1.9,18,1,18,-3.24846356453029,1,China,CH,CH,35.0,105.0,CH,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,1,China,CH,CH,35.0,105.0,CH,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
478002368,20151022,201510,2015,2015.8,EDUOPP,STUDENT,,,,,,EDU,OPP,,UIG,UYGUR,,,,,,,,,0,141,141,14,3,-6.5,9,1,9,-1.32890365448505,1,Hong Kong,HK,HK,22.25,114.167,HK,4,"Tiananmen Square, Beijing, China",CH,CH22,39.9044,116.391,9244097,1,Hong Kong,HK,HK,22.25,114.167,HK,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
478002369,20151022,201510,2015,2015.8,EDUOPP,STUDENT,,,,,,EDU,OPP,,UIG,UYGUR,,,,,,,,,0,141,141,14,3,-6.5,6,1,6,-1.32890365448505,1,Hong Kong,HK,HK,22.25,114.167,HK,1,Hong Kong,HK,HK,22.25,114.167,HK,1,Hong Kong,HK,HK,22.25,114.167,HK,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
478002558,20151022,201510,2015,2015.8,GBR,UNITED KINGDOM,GBR,,,,,,,,CHN,XINJIANG,CHN,,,,,,,,0,043,043,04,1,2.8,6,1,6,-3.24846356453029,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
478004534,20151022,201510,2015,2015.8,MOSUIG,MUSLIM,,,,MOS,,,,,CHN,XINJIANG,CHN,,,,,,,,0,043,043,04,1,2.8,6,1,6,-3.24846356453029,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
478004535,20151022,201510,2015,2015.8,MOSUIG,MUSLIM,,,,MOS,,,,,CHN,XINJIANG,CHN,,,,,,,,0,043,043,04,1,2.8,18,1,18,-3.24846356453029,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,52.9667,-1.16667,-2604469,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
478006396,20151022,201510,2015,2015.8,UIG,UYGUR,,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,140,140,14,3,-6.5,3,1,3,-1.32890365448505,4,"Tiananmen Square, Beijing, China",CH,CH22,39.9044,116.391,9244097,4,"Tiananmen Square, Beijing, China",CH,CH22,39.9044,116.391,9244097,4,"Buckingham Palace, Westminster, United Kingdom",UK,UKP5,51.5,-0.133333,-2591190,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
478006397,20151022,201510,2015,2015.8,UIG,UYGUR,,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,140,140,14,3,-6.5,3,1,3,-1.32890365448505,1,Hong Kong,HK,HK,22.25,114.167,HK,1,Hong Kong,HK,HK,22.25,114.167,HK,1,Hong Kong,HK,HK,22.25,114.167,HK,20151022,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
477985323,20151021,201510,2015,2015.7973,TUR,TURK,TUR,,,,,,,,UIG,UYGUR,,,,,,,,,1,042,042,04,1,1.9,5,1,5,-3.44827586206897,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,20151021,http://funs.co/view/2015/10/21/polls-show-hillarys-lead-expanding-post-debate/
477985341,20151021,201510,2015,2015.7973,UIG,UYGUR,,,,,,,,,TUR,TURK,TUR,,,,,,,,1,043,043,04,1,2.8,5,1,5,-3.44827586206897,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,20151021,http://funs.co/view/2015/10/21/polls-show-hillarys-lead-expanding-post-debate/
495559589,20151219,201512,2015,2015.9562,CHN,CHINA,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,111,111,11,3,-2.0,10,1,10,-2.98507462686567,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20151219,http://www.timesheraldonline.com/opinion/20151218/censors-can-try-but-wont-stop-digital-speech
495591780,20151219,201512,2015,2015.9562,TUR,TURK,TUR,,,,,,,,UIG,UYGUR,,,,,,,,,1,042,042,04,1,1.9,5,1,5,0.86580086580087,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,20151219,http://investmentwatchblog.com/ted-cruz-battered-on-fox-news-over-immigration-flip-flop/
495591804,20151219,201512,2015,2015.9562,UIG,UYGUR,,,,,,,,,TUR,TURK,TUR,,,,,,,,1,043,043,04,1,2.8,1,1,1,0.86580086580087,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,20151219,http://investmentwatchblog.com/ted-cruz-battered-on-fox-news-over-immigration-flip-flop/
495591805,20151219,201512,2015,2015.9562,UIG,UYGUR,,,,,,,,,TUR,TURK,TUR,,,,,,,,1,043,043,04,1,2.8,4,1,4,0.86580086580087,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,20151219,http://investmentwatchblog.com/ted-cruz-battered-on-fox-news-over-immigration-flip-flop/
495595387,20151219,201512,2015,2015.9562,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,0841,084,08,2,7.0,3,1,3,-10.2564102564103,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,0,,,,,,,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20151219,http://stirling-westrup-tt.blogspot.com/2015/12/tt-nyt-suspect-in-xinjiang-mine-attack.html
495595393,20151219,201512,2015,2015.9562,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,172,172,17,4,-5.0,3,1,3,-10.2564102564103,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,0,,,,,,,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20151219,http://stirling-westrup-tt.blogspot.com/2015/12/tt-nyt-suspect-in-xinjiang-mine-attack.html
495596921,20151219,201512,2015,2015.9562,uigEDU,UIGHUR,,,uig,,,EDU,,,,,,,,,,,,,1,173,173,17,4,-5.0,10,1,10,-10.2564102564103,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,0,,,,,,,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20151219,http://stirling-westrup-tt.blogspot.com/2015/12/tt-nyt-suspect-in-xinjiang-mine-attack.html
