GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
487218176,20141122,201411,2014,2014.8822,GOV,AUTHORITIES,,,,,,GOV,,,CHN,XINJIANG,CHN,,,,,,,,0,020,020,02,1,3.0,20,2,20,-10.0108063772229,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20151122,http://www.spacewar.com/reports/Chinese_police_shoot_dead_28_from_terrorist_group_authorities_999.html
497281319,20141226,201412,2014,2014.9753,CHN,CHINA,CHN,,,,,,,,uigEDU,UIGHUR,,,uig,,,EDU,,,0,173,173,17,4,-5.0,43,34,43,-7.70175952229551,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20151226,http://cnsnews.com/news/article/china-expels-french-reporter-who-questioned-terrorism
497281320,20141226,201412,2014,2014.9753,CHN,XINJIANG,CHN,,,,,,,,uigEDU,UIGHUR,,,uig,,,EDU,,,0,173,173,17,4,-5.0,390,43,390,-7.76016448532053,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20151226,http://cnsnews.com/news/article/china-expels-french-reporter-who-questioned-terrorism
497282968,20141226,201412,2014,2014.9753,CHN,CHINA,CHN,,,,,,,,uigEDU,UIGHUR,,,uig,,,EDU,,,0,173,173,17,4,-5.0,33,30,33,-7.95920082808661,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20151226,http://www.WLOX.com/story/30831613/china-expels-french-reporter-who-questioned-terrorism
497287276,20141226,201412,2014,2014.9753,CHN,XINJIANG,CHN,,,,,,,,uigEDU,UIGHUR,,,uig,,,EDU,,,0,173,173,17,4,-5.0,2,1,2,-7.79411764705882,1,Thailand,TH,TH,15.0,100.0,TH,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20151226,http://www.bangkokpost.com/news/general/807156/china-expels-french-journalist
497301756,20141226,201412,2014,2014.9753,CHN,XINJIANG,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,26,23,26,-7.921833328996,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20151226,http://www.theindependent.com/news/world/china-expels-french-reporter-who-questioned-terrorism/article_5de72dd0-2463-5183-8c2e-2474eb2f3cc9.html
497301757,20141226,201412,2014,2014.9753,CHN,CHINA,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,44,21,44,-7.53890750010006,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20151226,http://www.denverpost.com/breakingnews/ci_29312420/china-expels-french-reporter-who-questioned-terrorism
497301758,20141226,201412,2014,2014.9753,CHN,CHINA,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,30,23,30,-7.76763391879706,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20151226,http://www.theindependent.com/news/world/china-expels-french-reporter-who-questioned-terrorism/article_5de72dd0-2463-5183-8c2e-2474eb2f3cc9.html
497301759,20141226,201412,2014,2014.9753,CHN,XINJIANG,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,860,77,860,-7.50995405702733,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20151226,http://www.denverpost.com/breakingnews/ci_29312420/china-expels-french-reporter-who-questioned-terrorism
497319161,20141226,201412,2014,2014.9753,CHN,CHINA,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,1,036,036,03,1,4.0,1,1,1,-4.82654600301659,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,1,Malaysia,MY,MY,2.5,112.5,MY,20151226,http://www.thejakartapost.com/news/2015/12/26/arrested-terrorists-have-links-poso-is.html
