GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
431760261,20150508,201505,2015,2015.3507,KGZ,KYRGYZSTAN,KGZ,,,,,,,,CHN,XINJIANG,CHN,,,,,,,,1,043,043,04,1,2.8,1,1,1,-0.57471264367816,1,Ukraine,UP,UP,49.0,32.0,UP,1,Uzbekistan,UZ,UZ,41.0,64.0,UZ,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20150508,http://architectsandartisans.com/index.php/2015/05/how-carolyn-drake-faces-the-world/
440255698,20150611,201506,2015,2015.4411,CHN,XINJIANG,CHN,,,,,,,,COP,PRISON,,,,,,COP,,,0,057,057,05,1,8.0,16,1,16,-6.25869262865091,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150611,http://unpo.org/article/18293
423231358,20150406,201504,2015,2015.263,JUD,SUPREME COURT,,,,,,JUD,,,UIG,UYGUR,,,,,,,,,1,040,040,04,1,1.0,10,1,10,-5.07614213197969,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,20150406,http://www.tytnetwork.com/2015/04/03/99rise-tapes-protest-in-supreme-court/
425049811,20150413,201504,2015,2015.2822,GOV,GOVERNMENT,,,,,,GOV,,,uigEDU,UIGHUR,,,uig,,,EDU,,,1,170,170,17,4,-7.0,3,1,3,-2.44630071599045,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150413,http://www.nybooks.com/blogs/nyrblog/2015/apr/13/wild-pigeon-what-uighurs-see/
425049812,20150413,201504,2015,2015.2822,GOV,GOVERNMENT,,,,,,GOV,,,uigEDU,UIGHUR,,,uig,,,EDU,,,1,170,170,17,4,-7.0,2,1,2,-2.44630071599045,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20150413,http://www.nybooks.com/blogs/nyrblog/2015/apr/13/wild-pigeon-what-uighurs-see/
439746269,20150609,201506,2015,2015.4356,CHN,XINJIANG,CHN,,,,,,,,JPN,JAPANESE,JPN,,,,,,,,1,055,055,05,1,7.0,1,1,1,-7.45341614906832,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150609,http://chinadigitaltimes.net/2008/08/2-japan-reporters-detained-beaten-by-china-police/
429509676,20150429,201504,2015,2015.326,uig,UYGHUR,,,uig,,,,,,,,,,,,,,,,1,141,141,14,3,-6.5,2,1,2,-5.54493307839388,1,Turkey,TU,TU,39.0,35.0,TU,0,,,,,,,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20150429,http://www.rfa.org/english/news/uyghur/death-04292015161150.html
436918816,20150529,201505,2015,2015.4082,uig,UIGHUR,,,uig,,,,,,CVL,COMMUNITY,,,,,,CVL,,,0,111,111,11,3,-2.0,8,1,8,-2.32092837134854,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,20150529,http://iranian.com/posts/presstv--give-more-money-we-ll-shut-up-on-iran-51506/jumpto/idcomment-84149
436934548,20150529,201505,2015,2015.4082,uig,UIGHUR,,,uig,,,,,,EDU,SCHOOL,,,,,,EDU,,,0,042,042,04,1,1.9,5,3,5,-1.05248802549324,1,South Korea,KS,KS,37.0,127.5,KS,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150529,http://www.thenews.com.pk/Todays-News-1-320787-Rare-ethnic-marriages-reflect-China-tensions
430123513,20150502,201505,2015,2015.3342,CVL,VILLAGE,,,,,,CVL,,,uig,UYGHUR,,,uig,,,,,,1,191,191,19,4,-9.5,2,1,2,-5.47798066595059,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20150502,http://www.bignewsnetwork.com/index.php/sid/232477541
